[2025-07-23T08:35:50.653+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T08:35:50.850+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:35:50.861+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:35:50.861+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 12
[2025-07-23T08:35:50.874+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-07-22 08:15:00+00:00
[2025-07-23T08:35:50.881+0000] {standard_task_runner.py:63} INFO - Started process 32737 to run task
[2025-07-23T08:35:50.885+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp9i9u2_v4']
[2025-07-23T08:35:50.888+0000] {standard_task_runner.py:91} INFO - Job 32: Subtask save_database_1
[2025-07-23T08:35:50.940+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [running]> on host 0255908b9460
[2025-07-23T08:35:51.024+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-22T08:15:00+00:00'
[2025-07-23T08:35:51.025+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-23T08:35:51.037+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-23T08:35:51.227+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.236+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.248+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.251+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.377+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.378+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.405+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.491+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ADG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.503+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.524+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.528+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ADP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.632+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.637+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ADS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.648+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AGG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.665+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AGM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.779+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý APG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.847+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AGR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.917+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ANV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.931+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý APH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.952+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ASG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.988+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ASM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.059+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BAF: Expecting value: line 1 column 1 (char 0)
