[2025-07-23T08:43:46.589+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T08:43:46.812+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:43:46.820+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:43:46.821+0000] {taskinstance.py:2306} INFO - Starting attempt 3 of 13
[2025-07-23T08:43:46.833+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-07-22 08:15:00+00:00
[2025-07-23T08:43:46.841+0000] {standard_task_runner.py:63} INFO - Started process 32878 to run task
[2025-07-23T08:43:46.846+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp2dchkmey']
[2025-07-23T08:43:46.849+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask save_database_1
[2025-07-23T08:43:46.921+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [running]> on host 0255908b9460
[2025-07-23T08:43:47.022+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-22T08:15:00+00:00'
[2025-07-23T08:43:47.023+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-23T08:43:47.038+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-23T08:43:47.452+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.458+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.467+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.471+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.471+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.819+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.846+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.856+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.862+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.901+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ACC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.110+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ADG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.174+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ADP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.184+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AGG: Expecting value: line 1 column 1 (char 0)
