[2025-07-23T09:00:26.244+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T09:00:26.269+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T09:00:26.277+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T09:00:26.278+0000] {taskinstance.py:2306} INFO - Starting attempt 4 of 14
[2025-07-23T09:00:26.290+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-07-22 08:15:00+00:00
[2025-07-23T09:00:26.298+0000] {standard_task_runner.py:63} INFO - Started process 444 to run task
[2025-07-23T09:00:26.303+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpj7q37h0m']
[2025-07-23T09:00:26.306+0000] {standard_task_runner.py:91} INFO - Job 39: Subtask save_database_1
[2025-07-23T09:00:26.358+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [running]> on host 5ebc542be2e2
[2025-07-23T09:00:26.687+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-22T08:15:00+00:00'
[2025-07-23T09:00:26.688+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-23T09:00:26.701+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-23T09:00:26.880+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.889+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:26.965+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ABT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.052+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:27.063+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
