[2025-07-23T08:35:47.280+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T08:35:47.487+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:35:47.496+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:35:47.496+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 12
[2025-07-23T08:35:47.510+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-22 08:15:00+00:00
[2025-07-23T08:35:47.519+0000] {standard_task_runner.py:63} INFO - Started process 32729 to run task
[2025-07-23T08:35:47.523+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '31', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpk_cln9jq']
[2025-07-23T08:35:47.526+0000] {standard_task_runner.py:91} INFO - Job 31: Subtask save_database_1D
[2025-07-23T08:35:47.577+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [running]> on host 0255908b9460
[2025-07-23T08:35:47.659+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-22T08:15:00+00:00'
[2025-07-23T08:35:47.660+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-23T08:35:47.672+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-23T08:35:47.866+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:47.871+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:47.964+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:48.008+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:48.053+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:48.157+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACB: Expecting value: line 1 column 1 (char 0)
