[2025-07-23T08:43:43.031+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T08:43:43.217+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:43:43.224+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:43:43.224+0000] {taskinstance.py:2306} INFO - Starting attempt 3 of 13
[2025-07-23T08:43:43.234+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-22 08:15:00+00:00
[2025-07-23T08:43:43.241+0000] {standard_task_runner.py:63} INFO - Started process 32870 to run task
[2025-07-23T08:43:43.246+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpfkq_pnhb']
[2025-07-23T08:43:43.249+0000] {standard_task_runner.py:91} INFO - Job 33: Subtask save_database_1D
[2025-07-23T08:43:43.301+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [running]> on host 0255908b9460
[2025-07-23T08:43:43.399+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-22T08:15:00+00:00'
[2025-07-23T08:43:43.401+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-23T08:43:43.415+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-23T08:43:43.757+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:43.761+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:43.764+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:43.772+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:43.776+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.087+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.099+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.102+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.114+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.170+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.385+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ADG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.409+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AGG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.413+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ADP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.423+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ADS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.652+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AGR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.664+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AGM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.687+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ANV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.701+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý APG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:44.717+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý APH: Expecting value: line 1 column 1 (char 0)
