[2025-07-23T09:00:23.324+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T09:00:23.544+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T09:00:23.553+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T09:00:23.553+0000] {taskinstance.py:2306} INFO - Starting attempt 4 of 14
[2025-07-23T09:00:23.568+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-22 08:15:00+00:00
[2025-07-23T09:00:23.577+0000] {standard_task_runner.py:63} INFO - Started process 396 to run task
[2025-07-23T09:00:23.582+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpp54ekylj']
[2025-07-23T09:00:23.585+0000] {standard_task_runner.py:91} INFO - Job 38: Subtask save_database_1D
[2025-07-23T09:00:23.632+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-22T08:15:00+00:00 [running]> on host 5ebc542be2e2
[2025-07-23T09:00:23.708+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-22T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-22T08:15:00+00:00'
[2025-07-23T09:00:23.708+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-23T09:00:23.720+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-23T09:00:23.976+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:23.979+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:23.981+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:23.987+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.125+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.160+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.171+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.203+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.276+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ABT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.290+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ACC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.313+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ADS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.410+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ADG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.434+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ADP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.491+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AGR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.595+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý APG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.603+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AGG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.654+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AGM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.708+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ASG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.714+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ANV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.747+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý APH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.874+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ASM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.878+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BAF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.936+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý ASP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:24.984+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BCE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.026+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý AST: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.038+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BBC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.152+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BCG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.186+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.253+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BFC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.282+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.286+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BHN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.302+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BIC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.457+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.471+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.572+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.601+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BSR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.607+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BSI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.619+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.620+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BMI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T09:00:25.678+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý BTP: Expecting value: line 1 column 1 (char 0)
