[2025-07-24T10:59:33.371+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-24T10:59:33.564+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [queued]>
[2025-07-24T10:59:33.572+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [queued]>
[2025-07-24T10:59:33.573+0000] {taskinstance.py:2306} INFO - Starting attempt 4 of 14
[2025-07-24T10:59:33.586+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-23 08:15:00+00:00
[2025-07-24T10:59:33.593+0000] {standard_task_runner.py:63} INFO - Started process 8306 to run task
[2025-07-24T10:59:33.598+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-23T08:15:00+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpg9k7rne6']
[2025-07-24T10:59:33.601+0000] {standard_task_runner.py:91} INFO - Job 18: Subtask save_database_1D
[2025-07-24T10:59:33.652+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [running]> on host 38b84a7f4253
[2025-07-24T10:59:33.764+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-23T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-23T08:15:00+00:00'
[2025-07-24T10:59:33.765+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-24T10:59:33.781+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-24T10:59:34.346+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ADG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.347+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ADS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.355+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ADP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.355+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AGG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.355+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AGM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.804+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ABR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.863+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ABS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.869+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ANV: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.884+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý APG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.889+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý APH: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.892+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AGR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.893+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AAA: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.900+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ASG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.908+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AAM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.912+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AAT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.943+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ACG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.959+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ACC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.969+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ACB: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:34.972+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ABT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.005+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ACL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.255+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ASM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.335+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý AST: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.367+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BBC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.382+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BCG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.386+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BCM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.689+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BHN: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.829+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BMP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.896+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BRC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.941+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BSI: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.958+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BSR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:35.961+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BTP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.093+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý ASP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.199+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BFC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.230+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BIC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.248+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BID: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.265+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BTT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.277+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BKG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.287+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BMC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.317+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BMI: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.321+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BCE: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.413+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BVH: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.444+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BAF: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.504+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý BWE: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.559+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý C32: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.587+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CCI: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.591+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý C47: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.914+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CIG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:36.933+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CII: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.083+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CMG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.187+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CMX: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.243+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CCL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.252+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CNG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.294+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý COM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.300+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CRC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.341+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CDC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.381+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CHP: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.412+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CKG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.444+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CLC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.465+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CMV: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.472+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CLL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.513+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CLW: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.627+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CRE: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.766+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CSM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.788+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CSV: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.881+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CTD: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.952+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CTG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:37.998+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CTI: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.219+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DBD: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.257+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DBC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.320+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DBT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.347+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CTF: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.401+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CTR: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.453+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CTS: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.493+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý CVT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.508+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DCL: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.600+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DCM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.601+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý D2D: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.609+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DAH: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.659+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DC4: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.669+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DGC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.734+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DGW: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.780+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DAT: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:38.980+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DHA: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.068+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DHG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.213+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DHC: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.255+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DPG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.345+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DHM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.363+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DPM: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.400+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DIG: Expecting value: line 1 column 1 (char 0)
[2025-07-24T10:59:39.437+0000] {History_Day.py:56} ERROR - ❌ Lỗi khi xử lý DRC: Expecting value: line 1 column 1 (char 0)
