[2025-07-24T11:05:45.391+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-24T11:05:45.417+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [queued]>
[2025-07-24T11:05:45.425+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [queued]>
[2025-07-24T11:05:45.425+0000] {taskinstance.py:2306} INFO - Starting attempt 6 of 16
[2025-07-24T11:05:45.437+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-23 08:15:00+00:00
[2025-07-24T11:05:45.445+0000] {standard_task_runner.py:63} INFO - Started process 8487 to run task
[2025-07-24T11:05:45.450+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-23T08:15:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp38h2zhhq']
[2025-07-24T11:05:45.453+0000] {standard_task_runner.py:91} INFO - Job 20: Subtask save_database_1D
[2025-07-24T11:05:45.503+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [running]> on host 38b84a7f4253
[2025-07-24T11:05:45.834+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-23T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-23T08:15:00+00:00'
[2025-07-24T11:05:45.835+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-24T11:05:45.857+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-24T11:05:46.243+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AAA
[2025-07-24T11:05:46.282+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AAM
[2025-07-24T11:05:46.335+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AAT
[2025-07-24T11:05:46.339+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACC
[2025-07-24T11:05:46.371+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ADS
[2025-07-24T11:05:46.405+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ADP
[2025-07-24T11:05:46.410+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ADG
[2025-07-24T11:05:46.471+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACG
[2025-07-24T11:05:46.483+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AGG
[2025-07-24T11:05:46.510+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ABT
[2025-07-24T11:05:46.516+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ABS
[2025-07-24T11:05:46.521+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ABR
[2025-07-24T11:05:46.525+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACL
[2025-07-24T11:05:46.557+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACB
[2025-07-24T11:05:46.594+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AGM
[2025-07-24T11:05:46.627+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ANV
[2025-07-24T11:05:46.714+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho APH
[2025-07-24T11:05:46.736+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho APG
[2025-07-24T11:05:46.758+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AGR
