[2025-07-24T11:09:43.161+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-24T11:09:43.186+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [queued]>
[2025-07-24T11:09:43.193+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [queued]>
[2025-07-24T11:09:43.194+0000] {taskinstance.py:2306} INFO - Starting attempt 7 of 17
[2025-07-24T11:09:43.204+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-23 08:15:00+00:00
[2025-07-24T11:09:43.211+0000] {standard_task_runner.py:63} INFO - Started process 8584 to run task
[2025-07-24T11:09:43.217+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-23T08:15:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpgqsj2283']
[2025-07-24T11:09:43.219+0000] {standard_task_runner.py:91} INFO - Job 21: Subtask save_database_1D
[2025-07-24T11:09:43.270+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-23T08:15:00+00:00 [running]> on host 38b84a7f4253
[2025-07-24T11:09:43.547+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-23T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='7' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-23T08:15:00+00:00'
[2025-07-24T11:09:43.548+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-24T11:09:43.558+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-24T11:09:43.831+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACG
[2025-07-24T11:09:44.067+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AGM
[2025-07-24T11:09:44.170+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ADG
[2025-07-24T11:09:44.202+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AGR
[2025-07-24T11:09:44.208+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ABR
[2025-07-24T11:09:44.213+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ABS
[2025-07-24T11:09:44.234+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AAM
[2025-07-24T11:09:44.239+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AAT
[2025-07-24T11:09:44.300+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ANV
[2025-07-24T11:09:44.321+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AAA
[2025-07-24T11:09:44.337+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACL
[2025-07-24T11:09:44.350+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ABT
[2025-07-24T11:09:44.356+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ADP
[2025-07-24T11:09:44.361+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho AGG
[2025-07-24T11:09:44.373+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACC
[2025-07-24T11:09:44.382+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ACB
[2025-07-24T11:09:44.387+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ADS
[2025-07-24T11:09:44.793+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ASM
[2025-07-24T11:09:44.943+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho BBC
