[2025-07-31T09:07:42.562+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-31T09:07:42.578+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [queued]>
[2025-07-31T09:07:42.587+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [queued]>
[2025-07-31T09:07:42.587+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 12
[2025-07-31T09:07:42.599+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-07-30 08:15:00+00:00
[2025-07-31T09:07:42.607+0000] {standard_task_runner.py:63} INFO - Started process 1295 to run task
[2025-07-31T09:07:42.610+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1D', 'scheduled__2025-07-30T08:15:00+00:00', '--job-id', '1635', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpt8pvjgsk']
[2025-07-31T09:07:42.613+0000] {standard_task_runner.py:91} INFO - Job 1635: Subtask save_database_1D
[2025-07-31T09:07:42.672+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1D scheduled__2025-07-30T08:15:00+00:00 [running]> on host 1877907bc043
[2025-07-31T09:07:43.000+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-07-30T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-30T08:15:00+00:00'
[2025-07-31T09:07:43.000+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-31T09:07:43.014+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-07-31T09:07:51.329+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
