[2025-08-04T08:15:01.008+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-04T08:15:01.028+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-08-01T08:15:00+00:00 [queued]>
[2025-08-04T08:15:01.038+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-08-01T08:15:00+00:00 [queued]>
[2025-08-04T08:15:01.038+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-04T08:15:01.051+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-08-01 08:15:00+00:00
[2025-08-04T08:15:01.060+0000] {standard_task_runner.py:63} INFO - Started process 80665 to run task
[2025-08-04T08:15:01.067+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-08-01T08:15:00+00:00', '--job-id', '2430', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmpcolj3aq9']
[2025-08-04T08:15:01.071+0000] {standard_task_runner.py:91} INFO - Job 2430: Subtask save_database_1
[2025-08-04T08:15:01.126+0000] {task_command.py:426} INFO - Running <TaskInstance: saveDatabase.save_database_1 scheduled__2025-08-01T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-04T08:15:01.453+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveDatabase' AIRFLOW_CTX_TASK_ID='save_database_1' AIRFLOW_CTX_EXECUTION_DATE='2025-08-01T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-01T08:15:00+00:00'
[2025-08-04T08:15:01.454+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-04T08:15:01.468+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-04T08:15:05.724+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAM
[2025-08-04T08:15:07.538+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAT
[2025-08-04T08:15:08.635+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABR
[2025-08-04T08:15:08.807+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-08-04T08:15:11.919+0000] {History_Min.py:52} INFO - ✅ Đã lưu ABT
