[2025-08-27T07:36:08.589+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-27T07:36:08.608+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-07T08:15:00+00:00 [queued]>
[2025-08-27T07:36:08.617+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-07T08:15:00+00:00 [queued]>
[2025-08-27T07:36:08.617+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 11
[2025-08-27T07:36:08.634+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1D> on 2025-08-07 08:15:00+00:00
[2025-08-27T07:36:08.645+0000] {standard_task_runner.py:63} INFO - Started process 1498860 to run task
[2025-08-27T07:36:08.657+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveeboardcq', 'save_database_1D', 'scheduled__2025-08-07T08:15:00+00:00', '--job-id', '28180', '--raw', '--subdir', 'DAGS_FOLDER/dag_eboard_cq.py', '--cfg-path', '/tmp/tmpj3jorarm']
[2025-08-27T07:36:08.663+0000] {standard_task_runner.py:91} INFO - Job 28180: Subtask save_database_1D
[2025-08-27T07:36:08.741+0000] {task_command.py:426} INFO - Running <TaskInstance: saveeboardcq.save_database_1D scheduled__2025-08-07T08:15:00+00:00 [running]> on host 1877907bc043
[2025-08-27T07:36:09.108+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='saveeboardcq' AIRFLOW_CTX_TASK_ID='save_database_1D' AIRFLOW_CTX_EXECUTION_DATE='2025-08-07T08:15:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-08-07T08:15:00+00:00'
[2025-08-27T07:36:09.109+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-27T07:36:09.128+0000] {logging_mixin.py:188} INFO - 🚀 Bắt đầu cập nhật dữ liệu...
[2025-08-27T07:36:12.157+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAT
[2025-08-27T07:36:15.017+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABR
[2025-08-27T07:36:15.199+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAA
[2025-08-27T07:36:15.365+0000] {History_Day.py:51} INFO - ✅ Đã lưu AAM
[2025-08-27T07:36:17.575+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABS
[2025-08-27T07:36:18.587+0000] {History_Day.py:51} INFO - ✅ Đã lưu ABT
[2025-08-27T07:36:20.580+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACC
[2025-08-27T07:36:21.152+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACG
[2025-08-27T07:36:21.646+0000] {History_Day.py:51} INFO - ✅ Đã lưu ACB
[2025-08-27T07:36:23.778+0000] {History_Day.py:51} INFO - ✅ Đã lưu ADG
